Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An";
4,47503e-06;0;0;0;0;
4,48415e-06;0;0;0;0;
4,49326e-06;0;0;0;0;
4,50238e-06;0;0;0;0;
4,51149e-06;0;0;0;0;
4,52061e-06;0;0;0;0;
4,52972e-06;0;0;0;0;
4,53883e-06;0;0;0;0;
4,54795e-06;0;0;0;0;
4,55706e-06;0;0;0;0;
4,56618e-06;0;0;0;0;
4,57529e-06;0;0;0;0;
4,5844e-06;0;0;0;0;
4,59352e-06;0;0;0;0;
4,60263e-06;0;0;0;0;
4,61175e-06;0;0;0;0;
4,62086e-06;0;0;0;0;
4,62997e-06;0;0;0;0;
4,63909e-06;0;0;0;0;
4,6482e-06;0;0;0;0;
4,65732e-06;0;0;0;0;
4,66643e-06;0;0;0;0;
4,67555e-06;0;0;0;0;
4,68466e-06;0;0;0;0;
4,69377e-06;0;0;0;0;
4,70289e-06;0;0;0;0;
4,712e-06;0;0;0;0;
4,72112e-06;0;0;0;0;
4,73023e-06;0;0;0;0;
4,73934e-06;0;0;0;0;
4,74846e-06;0;0;0;0;
4,75757e-06;0;0;0;0;
4,76669e-06;0;0;0;0;
4,7758e-06;0;0;0;0;
4,78491e-06;0;0;0;0;
4,79403e-06;0;0;0;0;
4,80314e-06;0;0;0;0;
4,81226e-06;0;0;0;0;
4,82137e-06;0;0;0;0;
4,83049e-06;0;0;0;0;
4,8396e-06;0;0;0;0;
4,84871e-06;0;0;0;0;
4,85783e-06;0;0;0;0;
4,86694e-06;0;0;0;0;
4,87606e-06;0;0;0;0;
4,88517e-06;0;0;0;0;
4,89428e-06;0;0;0;0;
4,9034e-06;0;0;0;0;
4,91251e-06;0;0;0;0;
4,92163e-06;0;0;0;0;
4,93074e-06;0;0;0;0;
4,93985e-06;0;0;0;0;
4,94897e-06;0;0;0;0;
4,95808e-06;0;0;0;0;
4,9672e-06;0;0;0;0;
4,97631e-06;0;0;0;0;
4,98543e-06;0;0;0;0;
4,99454e-06;0;0;0;0;
5,00365e-06;0;0;0;0;
5,01277e-06;0;0;0;0;
5,02188e-06;0;0;0;0;
5,031e-06;0;0;0;0;
5,04011e-06;0;0;0;0;
5,04922e-06;0;0;0;0;
5,05834e-06;0;0;0;0;
5,06745e-06;0;0;0;0;
5,07657e-06;0;0;0;0;
5,08568e-06;0;0;0;0;
5,09479e-06;0;0;0;0;
5,10391e-06;0;0;0;0;
5,11302e-06;0;0;0;0;
5,12214e-06;0;0;0;0;
5,13125e-06;0;0;0;0;
5,14037e-06;0;0;0;0;
5,14948e-06;0;0;0;0;
5,15859e-06;0;0;0;0;
5,16771e-06;0;0;0;0;
5,17682e-06;0;0;0;0;
5,18594e-06;0;0;0;0;
5,19505e-06;0;0;0;0;
5,20416e-06;0;0;0;0;
5,21328e-06;0;0;0;0;
5,22239e-06;0;0;0;0;
5,23151e-06;0;0;0;0;
5,24062e-06;0;0;0;0;
5,24974e-06;0;0;0;0;
5,25885e-06;0;0;0;0;
5,26796e-06;0;0;0;0;
5,27708e-06;0;0;0;0;
5,28619e-06;0;0;0;0;
5,29531e-06;0;0;0;0;
5,30442e-06;0;0;0;0;
5,31353e-06;0;0;0;0;
5,32265e-06;0;0;0;0;
5,33176e-06;0;0;0;0;
5,34088e-06;0;0;0;0;
5,34999e-06;0;0;0;0;
5,3591e-06;0;0;0;0;
5,36822e-06;0;0;0;0;
5,37733e-06;0;0;0;0;
5,38645e-06;0;0;0;0;
5,39556e-06;0;0;0;0;
5,40468e-06;0;0;0;0;
5,41379e-06;0;0;0;0;
