Time;"U(l)";"U(l/2)";"U(l)A";"U(l/2)A";
3,47248e-06;0,00013004;0;0,000130228;0;
3,4816e-06;0,000130382;0;0,00013057;0;
3,49071e-06;0,000130724;0;0,000130912;0;
3,49982e-06;0,000131066;0;0,000131254;0;
3,50894e-06;0,000131408;0;0,000131595;0;
3,51805e-06;0,00013175;0;0,000131937;0;
3,52717e-06;0,000132093;0;0,000132279;0;
3,53628e-06;0,000132435;0;0,000132621;0;
3,54539e-06;0,000132777;0;0,000132963;0;
3,55451e-06;0,000133119;0;0,000133304;0;
3,56362e-06;0,000133461;0;0,000133646;0;
3,57274e-06;0,000133803;0;0,000133988;0;
3,58185e-06;0,000134145;0;0,00013433;0;
3,59096e-06;0,000134488;0;0,000134672;0;
3,60008e-06;0,00013483;0;0,000135014;0;
3,60919e-06;0,000135172;0;0,000135355;0;
3,61831e-06;0,000135514;0;0,000135697;0;
3,62742e-06;0,000135856;0;0,000136039;0;
3,63654e-06;0,000136198;0;0,000136381;0;
3,64565e-06;0,00013654;0;0,000136723;0;
3,65476e-06;0,000136882;0;0,000137064;0;
3,66388e-06;0,000137225;0;0,000137406;0;
3,67299e-06;0,000137567;0;0,000137748;0;
3,68211e-06;0,000137909;0;0,00013809;0;
3,69122e-06;0,000138251;0;0,000138432;0;
3,70033e-06;0,000138593;0;0,000138773;0;
3,70945e-06;0,000138935;0;0,000139115;0;
3,71856e-06;0,000139277;0;0,000139457;0;
3,72768e-06;0,000139619;0;0,000139799;0;
3,73679e-06;0,000139962;0;0,000140141;0;
3,7459e-06;0,000140304;0;0,000140482;0;
3,75502e-06;0,000140646;0;0,000140824;0;
3,76413e-06;0,000140988;0;0,000141166;0;
3,77325e-06;0,00014133;0;0,000141508;0;
3,78236e-06;0,000141672;0;0,00014185;0;
3,79148e-06;0,000142014;0;0,000142191;0;
3,80059e-06;0,000142356;0;0,000142533;0;
3,8097e-06;0,000142699;0;0,000142875;0;
3,81882e-06;0,000143041;0;0,000143217;0;
3,82793e-06;0,000143383;0;0,000143559;0;
3,83705e-06;0,000143725;0;0,0001439;0;
3,84616e-06;0,000144067;0;0,000144242;0;
3,85527e-06;0,000144409;0;0,000144584;0;
3,86439e-06;0,000144751;0;0,000144926;0;
3,8735e-06;0,000145094;0;0,000145268;0;
3,88262e-06;0,000145436;0;0,000145609;0;
3,89173e-06;0,000145778;0;0,000145951;0;
3,90084e-06;0,00014612;0;0,000146293;0;
3,90996e-06;0,000146462;0;0,000146635;0;
3,91907e-06;0,000146804;0;0,000146977;0;
3,92819e-06;0,000147146;0;0,000147319;0;
3,9373e-06;0,000147488;0;0,00014766;0;
3,94642e-06;0,000147831;0;0,000148002;0;
3,95553e-06;0,000148173;0;0,000148344;0;
3,96464e-06;0,000148515;0;0,000148686;0;
3,97376e-06;0,000148857;0;0,000149028;0;
3,98287e-06;0,000149199;0;0,000149369;0;
3,99199e-06;0,000149541;0;0,000149711;0;
4,0011e-06;0,000149883;0;0,000150053;0;
4,01021e-06;0,000150225;0;0,000150395;0;
4,01933e-06;0,000150568;0;0,000150737;0;
4,02844e-06;0,00015091;0;0,000151078;0;
4,03756e-06;0,000151252;0;0,00015142;0;
4,04667e-06;0,000151594;0;0,000151762;0;
4,05578e-06;0,000151936;0;0,000152104;0;
4,0649e-06;0,000152278;0;0,000152446;0;
4,07401e-06;0,00015262;0;0,000152787;0;
4,08313e-06;0,000152963;0;0,000153129;0;
4,09224e-06;0,000153305;0;0,000153471;0;
4,10136e-06;0,000153647;0;0,000153813;0;
4,11047e-06;0,000153989;0;0,000154155;0;
4,11958e-06;0,000154331;0;0,000154496;0;
4,1287e-06;0,000154673;0;0,000154838;0;
4,13781e-06;0,000155015;0;0,00015518;0;
4,14693e-06;0,000155357;0;0,000155522;0;
4,15604e-06;0,0001557;0;0,000155864;0;
4,16515e-06;0,000156042;0;0,000156205;0;
4,17427e-06;0,000156384;0;0,000156547;0;
4,18338e-06;0,000156726;0;0,000156889;0;
4,1925e-06;0,000157068;0;0,000157231;0;
4,20161e-06;0,00015741;0;0,000157573;0;
4,21073e-06;0,000157752;0;0,000157915;0;
4,21984e-06;0,000158094;0;0,000158256;0;
4,22895e-06;0,000158437;0;0,000158598;0;
4,23807e-06;0,000158779;0;0,00015894;0;
4,24718e-06;0,000159121;0;0,000159282;0;
4,2563e-06;0,000159463;0;0,000159624;0;
4,26541e-06;0,000159805;0;0,000159965;0;
4,27452e-06;0,000160147;0;0,000160307;0;
4,28364e-06;0,000160489;0;0,000160649;0;
4,29275e-06;0,000160832;0;0,000160991;0;
4,30187e-06;0,000161174;0;0,000161333;0;
4,31098e-06;0,000161516;0;0,000161674;0;
4,32009e-06;0,000161858;0;0,000162016;0;
4,32921e-06;0,0001622;0;0,000162358;0;
4,33832e-06;0,000162542;0;0,0001627;0;
4,34744e-06;0,000162884;0;0,000163042;0;
4,35655e-06;0,000163226;0;0,000163383;0;
4,36567e-06;0,000163569;0;0,000163725;0;
4,37478e-06;0,000163911;0;0,000164067;0;
4,38389e-06;0,000164253;0;0,000164409;0;
4,39301e-06;0,000164595;0;0,000164751;0;
4,40212e-06;0,000164937;0;0,000165092;0;
4,41124e-06;0,000165279;0;0,000165434;0;
4,42035e-06;0,000165621;0;0,000165776;0;
4,42946e-06;0,000165963;0;0,000166118;0;
4,43858e-06;0,000166306;0;0,00016646;0;
4,44769e-06;0,000166648;0;0,000166801;0;
4,45681e-06;0,00016699;0;0,000167143;0;
